s_no,journal_title,short_title,issn,impact_factor,acceptance_rate,total_articles,apc_usd,volume,issue,tier_classification,waiver_stance,journal_path,sender_full_name
1,"International Journal of Nutrition",IJN,2379-7835,6.044,42%,121,3600.0,"Vol 8","Issue 2","Tier 3","❌ Minimal",/journal/international-journal-of-nutrition,"Carla Evans"
2,"Journal of Public Health International",JPHI,2641-4538,5.981,49%,94,1800.0,"Vol 7","Issue 3","Tier 3","❌ Minimal",/journal/public-health-international,"Samantha Rivera"
3,"Journal of Agronomy Research",JAR,2639-3166,5.995,39%,73,1200.0,"Vol 5","Issue 3","Tier 2","⚠️ Targeted",/journal/agronomy-research,"Ella Martinez"
4,"Journal of Aging Research And Healthcare",JARH,2474-7785,6.129,40%,65,2100.0,"Vol 5","Issue 1","Tier 3","❌ Minimal",/journal/aging-research-and-healthcare,"Emily White"
5,"International Journal of Coronaviruses",IJCV,2692-1537,3.433,45%,65,2400.0,"Vol 5","Issue 1","Tier 2","⚠️ Targeted",/journal/international-journal-of-coronaviruses,"Angela Gray"
6,"Journal of Clinical Research In HIV AIDS And Prevention",JCRHAP,2324-7339,6.107,46%,63,1440.0,"Vol 4","Issue 2","Tier 3","❌ Minimal",/journal/clinical-research-in-hiv-aids-and-prevention,"Jennifer Nelson"
7,"Journal of Hematology and Oncology Research",JHOR,2372-6601,6.047,43%,60,1800.0,"Vol 4","Issue 4","Tier 3","❌ Minimal",/journal/hematology-and-oncology-research,"Madison Turner"
8,"Journal of Neurological Research And Therapy",JNRT,2470-5020,5.956,42%,54,2100.0,"Vol 4","Issue 2","Tier 3","❌ Minimal",/journal/neurological-research-and-therapy,"Natalie Smith"
9,"Journal of New Developments in Chemistry",JNDC,2377-2549,6.045,43%,54,2100.0,"Vol 4","Issue 2","Tier 3","❌ Minimal",/journal/new-developments-in-chemistry,"Naomi Robinson"
10,"Journal of Hypertension and Cardiology",JHC,2329-9487,6.126,40%,46,2100.0,"Vol 3","Issue 4","Tier 3","❌ Minimal",/journal/hypertension-and-cardiology,"Lucy Robinson"
11,"Journal of Preventive Medicine And Care",JPMC,2474-3585,5.994,40%,41,1800.0,"Vol 3","Issue 3","Tier 2","⚠️ Targeted",/journal/preventive-medicine-and-care,"Sara Rodriguez"
12,"Journal of Women's Reproductive Health",JWRH,2381-862X,5.998,44%,40,2100.0,"Vol 3","Issue 2","Tier 3","❌ Minimal",/journal/womens-reproductive-health,"Zoe Miller"
13,"Journal of Ophthalmic Science",JOS,2470-0436,5.997,45%,38,1200.0,"Vol 3","Issue 2","Tier 2","⚠️ Targeted",/journal/ophthalmic-science,"Pamela Clark"
