feature,metric,correlation,p_value
subject_char_count,open_rate,-0.07869626274612189,2.9778971180861613e-36
subject_char_count,click_rate,-0.0438658120518225,2.5470765499478728e-12
subject_char_count,bounce_rate,-0.040113879682083776,1.5395829747771125e-10
subject_caps_ratio,open_rate,-0.09375990734206714,8.628925964609473e-51
subject_caps_ratio,click_rate,-0.07446205447473402,1.2650266461625864e-32
subject_caps_ratio,bounce_rate,-0.04044073406690997,1.0922205382841862e-10
subject_has_call_for_papers,open_rate,-0.011066131231780607,0.07751603189079553
subject_has_call_for_papers,click_rate,-0.007421042670371537,0.23649432821583163
subject_has_call_for_papers,bounce_rate,-0.0006794910374711465,0.9136863211352496
subject_excess_exclaim,open_rate,-0.025550994305383816,4.572464137869296e-05
subject_excess_exclaim,click_rate,-0.016333653490045588,0.009169734482490649
subject_excess_exclaim,bounce_rate,-0.006109335352349262,0.32978420925753604
content_intro_word_count,open_rate,-0.003856556694030605,0.5384315312167628
content_intro_word_count,click_rate,-0.00858878313699061,0.1706627037218446
content_intro_word_count,bounce_rate,0.0011582407528688628,0.8534184415144564
content_has_html_bullets,open_rate,,
content_has_html_bullets,click_rate,,
content_has_html_bullets,bounce_rate,,
content_external_domain_count,open_rate,,
content_external_domain_count,click_rate,,
content_external_domain_count,bounce_rate,,
content_single_cta,open_rate,,
content_single_cta,click_rate,,
content_single_cta,bounce_rate,,
